id,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,odd_time_signature,valence,cluster
2E5vl5eF4M4QbaADGegVDP,0.422,205853.0,0.21,0.00273,0.129,-18.32,0,0.0375,86.872,0,0.343,0
6YffUZJ2R06kyxyK6onezL,0.659,158427.0,0.585,0.000213,0.348,-8.189,1,0.0288,104.111,0,0.784,0
2TRPiN6o3jMRX6u2acRvp0,0.66,229560.0,0.392,0.0,0.0376,-17.606,1,0.0365,147.395,0,0.979,0
4qmG24ebshLXtKu9HIShBP,0.773,217527.0,0.597,0.0,0.22,-7.138,1,0.309,160.101,0,0.305,0
3FIuBxOxuQ6kYy8JO0gq2a,0.479,383627.0,0.725,1.19e-05,0.158,-5.615,0,0.0298,126.727,0,0.595,0
76TZCvJ8GitQ2FA1q5dKu0,0.439,308520.0,0.488,0.000339,0.16,-14.464,1,0.0615,93.017,0,0.629,0
6RUhbFEhrvGISaQ8u2j2JN,0.664,235947.0,0.602,0.0,0.356,-5.369,0,0.0412,134.049,1,0.289,0
6G12ZafqofSq7YtrMqUm76,0.873,158805.0,0.695,1.23e-06,0.211,-4.207,0,0.0459,131.963,0,0.823,0
6qn9YLKt13AGvpq9jfO8py,0.734,215227.0,0.766,0.00138,0.108,-4.485,1,0.0383,127.986,0,0.6,0
7m97yKVzPpXV9Z4ezEziOD,0.88,283067.0,0.814,0.00672,0.0584,-6.307,0,0.14,138.083,0,0.942,0
6REbwUNlppTfcnV4d4ZoZi,0.577,247800.0,0.447,0.00022,0.0899,-5.892,1,0.277,74.236,0,0.189,0
0RUGuh2uSNFJpGMSsD1F5C,0.576,257720.0,0.835,0.0,0.082,-6.826,1,0.0486,150.017,0,0.476,0
3C8ULtjiUmTtcpE7QJBZ7G,0.705,205200.0,0.337,3.12e-06,0.0747,-14.457,1,0.343,96.556,0,0.6,0
4MKaF7h5dvA3pXnheWFWgL,0.628,225453.0,0.691,0.0,0.0949,-8.404,1,0.251,152.005,0,0.852,0
2hy9PyCleGC4HRe5MsPwfF,0.443,301741.0,0.511,0.0,0.543,-8.124,0,0.0449,106.299,0,0.325,0
3I1vEQhGwRK7URrTq4BqNl,0.572,224813.0,0.668,0.0379,0.223,-9.382,0,0.0361,109.511,0,0.56,0
5zV0wRVd6SNn59aY2CKrVp,0.746,198333.0,0.927,3.28e-06,0.0573,-4.421,1,0.0506,104.916,0,0.931,0
0TaSupnCN8WuC0M7oWbovI,0.359,221869.0,0.392,0.0,0.112,-7.879,1,0.0292,95.494,0,0.369,0
1l2Xmg54EUr3TDzNIaCr1z,0.624,183667.0,0.257,7.56e-05,0.138,-13.341,1,0.0444,85.617,0,0.681,0
5N4erncE7kuUccm7zEmwzk,0.588,238173.0,0.67,3.33e-06,0.338,-6.439,1,0.0473,118.159,0,0.505,0
2WOjLF83vqjit2Zh4B69V3,0.6,217400.0,0.243,0.0022,0.249,-17.085,1,0.0366,110.535,0,0.468,0
73CMRj62VK8nUS4ezD2wvi,0.603,242974.0,0.67,1.68e-06,0.112,-3.882,0,0.0249,107.993,0,0.446,0
0DiWol3AO6WpXZgp0goxAV,0.613,320357.0,0.697,0.0,0.332,-8.618,1,0.133,122.746,0,0.476,0
69kOkLUCkxIZYexIgSG8rq,0.81,369627.0,0.793,1.77e-06,0.072,-9.404,0,0.0403,116.05,0,0.863,0
2rurDawMfoKP4uHyb2kJBt,0.695,172235.0,0.636,0.0,0.081,-4.654,1,0.317,174.14,0,0.575,0
3iVcZ5G6tvkXZkZKlMpIUs,0.796,219333.0,0.766,0.0,0.0827,-5.974,1,0.238,110.034,0,0.558,0
7aqfrAY2p9BUSiupwk3svU,0.47,247444.0,0.64,0.0,0.382,-7.779,1,0.32,163.92,0,0.248,0
4mnOVRRXsaqg9Nb041xR8u,0.592,249360.0,0.473,0.0,0.0732,-9.834,1,0.0354,203.989,0,0.741,0
7MmG8p0F9N3C4AXdK6o6Eb,0.646,227267.0,0.823,0.0,0.322,-4.123,0,0.0394,128.035,0,0.418,0
2XBq0fuEgwMyP4BV8TPBwS,0.483,311745.0,0.309,2.64e-05,0.0922,-10.758,1,0.0284,95.033,0,0.18,0
7kXmJwrZGIhDaLT9sNo3ut,0.632,290493.0,0.92,0.508,0.114,-4.976,1,0.0531,127.001,0,0.363,0
0k2GOhqsrxDTAbFFSdNJjT,0.951,218573.0,0.6,0.0,0.0712,-4.675,0,0.0685,125.04,0,0.822,0
